,sumber,Judul,bidang,kategori
293,mau belajar apa,(Jourdan pending class Online) Belajar Pengaturan Hukum untuk Bisnismu (DRAFT),entrepreneurship-startup,business
294,mau belajar apa,(2 Sessions) (Webinar) Learn How To Earn Funding For Your Business (BSP V),entrepreneurship-startup,business
295,mau belajar apa,(2 Sessions) (Jourdan pending class Online) Belajar Pendanaan Bisnis (DRAFT),entrepreneurship-startup,business
296,mau belajar apa,Belajar Menjadi Wirausaha dan Mulai Berjualan dari Rumah,entrepreneurship-startup,business
297,mau belajar apa,Belajar Membangun Usaha Bakery Dengan Modal Minim,entrepreneurship-startup,business
298,mau belajar apa,Learn About How Can Service Industry Survive? (Surviving Covid19),entrepreneurship-startup,business
299,mau belajar apa,(2 Sessions) Learn How To Earn Funding For Your Business (BSP V) (Jakarta Area),entrepreneurship-startup,business
300,mau belajar apa,Learn How to Draw Fashion Illustration,fashion-illustration,art
301,mau belajar apa,(20 Sessions) Learn All About Fashion Design And Pattern Making,fashion-illustration,art
302,mau belajar apa,Learn About Fashion Illustration,fashion-illustration,art
303,mau belajar apa,Belajar SEO Dasar Untuk Pemula,it,teknologi
304,mau belajar apa,Belajar Penggunaan Microsoft Excel untuk Analisa Data,it,teknologi
305,mau belajar apa,(14 Sessions) Learn All About Data Visualization Specialization (Day Class),it,teknologi
306,mau belajar apa,Belajar Membuat Website Untuk Online Shopping (E-Commerce) menggunakan WordPress,it,teknologi
307,mau belajar apa,Learn How To Master HTML And CSS Only In 1 Day,it,teknologi
308,mau belajar apa,(30 Sessions) Learn All About Machine Learning Specialization (Day Class),it,teknologi
309,mau belajar apa,(Livestream) Learn How To Create Effective UX Wireframing,it,teknologi
310,mau belajar apa,(Livestream) Learn The Introduction To Data Science,it,teknologi
311,mau belajar apa,(24 Sessions) (24 Days Class) Belajar Menjadi Seorang Teknisi Komputer Profesional,hardware,teknologi
312,mau belajar apa,Belajar Design Thinking Untuk Mencari Ide Bisnis,design-thinking,teknologi
313,mau belajar apa,Learn All About Design Thinking For Business,design-thinking,teknologi
314,mau belajar apa,Belajar Design Thinking untuk Memulai Sebuah Bisnis,design-thinking,teknologi
315,mau belajar apa,Learn How To Draw 3-Dimensional Sketch,drawing,art
316,mau belajar apa,Belajar Membuat Desain Busana (South Jakarta),drawing,art
317,mau belajar apa,(3 Sessions) Learn How To Make Storyboard Coloring,drawing,art
318,mau belajar apa,(2 Sessions) Learn How To Draw Face and Hands (2 Days Session),drawing,art
319,mau belajar apa,(3 Sessions) Belajar Membuat Storyboard Sketches,drawing,art
320,mau belajar apa,Learn How To Master HTML And CSS Only In 1 Day,programming,teknologi
321,mau belajar apa,Belajar Membuat Website HTML And CSS,programming,teknologi
322,mau belajar apa,(2 Sessions) Learn All About Python Fundamental For Data Science,programming,teknologi
323,mau belajar apa,(20 Sessions) (Masterclass For Apps Developer) Learn How To Build IOS Apps From Zero To Pro,programming,teknologi
324,mau belajar apa,Learn How To Make Ferrero Chocolate Cheesecake,cake-pastry-dessert,pengembangan-diri
325,mau belajar apa,Learn How to Make Puff Pastry,cake-pastry-dessert,pengembangan-diri
326,mau belajar apa,Learn How To Make Tres Le Ches Cake,cake-pastry-dessert,pengembangan-diri
327,mau belajar apa,Belajar Membuat Puding Lapis Surabaya Dengan Chef Yuliana,dessert-making,pengembangan-diri
328,mau belajar apa,Belajar Membuat Dessert Puding Bentuk Sushi Dan Sashimi,dessert-making,pengembangan-diri
329,mau belajar apa,Belajar Membuat Silky Pudding (Puding Sutera) Aneka Rasa ala Cafe bersama Chef Siu Erl,dessert-making,pengembangan-diri
330,mau belajar apa,Belajar Membuat Aneka 3D Jelly Art,dessert-making,pengembangan-diri
331,mau belajar apa,Belajar Memulai Usaha Avocado Pudding (Puding Alpukat) ala Cafe Dengan Chef Hadi,dessert-making,pengembangan-diri
332,mau belajar apa,Learn How To Make Super Heroes Pudding Cups,dessert-making,pengembangan-diri
333,mau belajar apa,Belajar Menghitung Biaya dan Membuat Laporan Keuangan,accounting,business
334,mau belajar apa,Belajar Akuntasi Dasar dan Perencanaan Finansial,accounting,business
335,mau belajar apa,Belajar Akuntansi Dasar dan Pencatatan Transaksi Bisnis,accounting,business
336,mau belajar apa,Belajar Menghitung dan Membuat Laporan Arus Kas,accounting,business
337,mau belajar apa,(10 Sessions) Learn The Essentials of Graphic Design and Digital Imaging,design-media,art
338,mau belajar apa,Pengetahuan Dasar Menjadi Seorang Desainer Grafis Di Era Media Sosial Dengan @Nugrohoiif,design-media,art
339,mau belajar apa,(4 Sessions) Learn How To Create Creature Design,design-media,art
340,mau belajar apa,(10 Sessions) Learn About Video Production,design-media,art
341,mau belajar apa,Learn The Basic Of Photography With Adi Sabadirman,design-media,art
342,mau belajar apa,(Webinar) Learn All About Lighting Theory And Its Application for Photography And Videography,design-media,art
343,mau belajar apa,(4 Sessions) Learn How To Design A Character With Digital Art,design-media,art
344,mau belajar apa,Belajar Pengetahuan Dasar Menjadi Seorang Videografer,design-media,art
345,mau belajar apa,Belajar Teknik Membuat Konten Online yang Menghasilkan Penjualan,digitalmarketing,business
346,mau belajar apa,Belajar Pengenalan Website Marketing,digitalmarketing,business
347,mau belajar apa,Belajar Mengenai Google Ads & Google Analytics,digitalmarketing,business
348,mau belajar apa,Belajar Menulis untuk Pemula,digitalmarketing,business
349,mau belajar apa,Belajar Penulisan Konten Kreatif dan Konten untuk Keperluan Bisnis,digitalmarketing,business
350,mau belajar apa,Belajar Mengembangkan Bisnis Lewat Iklan Media Sosial,digitalmarketing,business
351,mau belajar apa,(Weekly Webinar Class) Belajar Cara Mendatangkan Konsumen Melalui Facebook Dan Instagram,digitalmarketing,business
352,mau belajar apa,(3 Sessions) Belajar Dasar Digital Marketing: Membuat Kampanye dan Memilih Media yang Tepat,digitalmarketing,business
353,mau belajar apa,Belajar Penggunaan Google Analytics,digitalmarketing,business
354,mau belajar apa,Belajar Jualan Online & Meningkatkan Penjualan di Social Media,digitalmarketing,business
355,mau belajar apa,Belajar Meraih Penghasilan 10 Juta Pertama Melalui Tokopedia & Shopee,digitalmarketing,business
356,mau belajar apa,Belajar Meraih Penghasilan 10 Juta Pertama Melalui Instagram,digitalmarketing,business
357,mau belajar apa,(Livestream) Learn How To Maximize Instagram To Boost Your Sales,digitalmarketing,business
358,mau belajar apa,Learn The Fundamental Of Email Marketing To Close Hard Deals Only In 1 Day,digitalmarketing,business
359,mau belajar apa,Belajar Trik Sukses Jualan Online dengan Iklan Facebook dan Instagram Dengan Albert Leonardo (Beginner),digitalmarketing,business
360,mau belajar apa,Learn The Secrets of Google Analytics and Its Weapons Only in 1 Day,digitalmarketing,business
361,mau belajar apa,Belajar Cara Memulai Karir 2020 sebagai Content Creator yang Berkualitas,digitalmarketing,business
362,mau belajar apa,Belajar Trik SEO (Online),digitalmarketing,business
363,mau belajar apa,(3 Sessions) (Masterclass) Belajar Menjadi Content Creator Profesional dengan Konten Online yang Menghasilkan Penjualan,digitalmarketing,business
364,mau belajar apa,Belajar Menggunakan Email Marketing,digitalmarketing,business
365,mau belajar apa,Learn How to Make Crochet Coaster,crochet-knitting-weaving,fashion
366,mau belajar apa,(20 Sessions) (Masterclass For Apps Developer) Learn How To Build IOS Apps From Zero To Pro,mobile-apps,teknologi
367,mau belajar apa,Learn How To Invest In Stock,personal-finance,pengembangan-diri
368,mau belajar apa,"Belajar Berasuransi dengan Efektif, Cash Flow pun Aman",personal-finance,pengembangan-diri
369,mau belajar apa,(4 Sessions) (Bundling Package) Financial Literacy Series For Millennial 2020,personal-finance,pengembangan-diri
370,mau belajar apa,Learn How to Understand the Problem by Design Thinking,business-research-report-writing,business
371,mau belajar apa,(4 Sessions) Belajar Pembuatan Tulisan Bisnis dalam Bahasa Inggris (Tingkat Lanjut),business-research-report-writing,business
372,mau belajar apa,(2 Sessions) Belajar Menulis Surat Bisnis bersama Ivan Lanin,business-research-report-writing,business
373,mau belajar apa,(5 Sessions) Belajar Design Thinking untuk Manajemen Staff Bisnis Makanan,business-research-report-writing,business
374,mau belajar apa,(4 Sessions) Belajar Pembuatan Business Model Canvas untuk Bisnis Makanan (Seri 2),business-research-report-writing,business
375,mau belajar apa,(5 Sessions) Belajar Pembuatan Business Model Canvas untuk Bisnis Makanan (Seri 1),business-research-report-writing,business
376,mau belajar apa,Belajar Design Thinking untuk Memulai Sebuah Bisnis,business-research-report-writing,business
377,mau belajar apa,Learn The Essentials Of Business Writing,business-research-report-writing,business
378,mau belajar apa,(2 Sessions) Learn How To Master Search Engine Optimization (SEO) Only In 2 Days,sem-seo,business
379,mau belajar apa,Belajar Trik SEO (Online),sem-seo,business
380,mau belajar apa,Belajar Mengenai Google Ads & Google Analytics,sem-seo,business
381,mau belajar apa,(Webinar) Learn All About SEO for Beginner,sem-seo,business
382,mau belajar apa,(10 Sessions) Learn About Video Editing,content-creator,business
383,mau belajar apa,(2 Sessions) (2 Days Webinar Masterclass) Increase Your Brand Presence & Sales With Instagram Marketing,content-creator,business
384,mau belajar apa,(4 Sessions) Mastering Digital & Social Media Marketing for Managers & Business Owners (With Jourdan Kamal),content-creator,business
385,mau belajar apa,Belajar Membuat Website HTML And CSS,content-creator,business
386,mau belajar apa,(8 Sessions) Learn About Graphic Design (Basic),content-creator,business
387,mau belajar apa,(8 Sessions) Learn About 3D Animation (Advance),content-creator,business
388,mau belajar apa,Learn How To Create And Grow Your Own Website Using Wordpress Only In 1 Day,content-creator,business
389,mau belajar apa,Learn How To Master Google Ads In Order To Get Higher Traffics And Sales Only in 1 Day,content-creator,business
390,pijarmahir,Belajar Mengenal dan Menggunakan Google Ads (Online),NAN,None
391,pijarmahir,(8 Sessions) Learn About Graphic Design (Advance),NAN,None
392,pijarmahir,(20 Sessions) Learn About Video Editing And Video Production (Package),NAN,None
393,pijarmahir,Learn How To Master HTML And CSS Only In 1 Day,NAN,None
394,pijarmahir,(2 Sessions) (2 Days Webinar) Introduction To Digital Marketing with Jourdan Kamal,NAN,None
395,pijarmahir,(16 Sessions) Learn About Graphic Design From Basic To Advance (Package),NAN,None
396,pijarmahir,Pengetahuan Bahasa Indonesia,NAN,None
397,pijarmahir,Pengetahuan Budaya dan Pariwisata,NAN,None
398,pijarmahir,Agile Dan Scrum,NAN,None
399,pijarmahir,Introduction to Packet Tracer,NAN,None
400,pijarmahir,Introduction to IoT,NAN,None
401,pijarmahir,Introduction to Cybersecurity,NAN,None
402,pijarmahir,Business Model Canvasing,NAN,None
403,pijarmahir,Anti Nganggur! Cara Melamar Kerja Tepat Sasaran,NAN,None
404,pijarmahir,"Dari Rumah jadi Berkah, Bisnis Jajanan Rumahan",NAN,None
405,pijarmahir,Cara Jadi YouTuber untuk Pemula,NAN,None
406,pijarmahir,Membuat Logo Menggunakan Canva,NAN,None
407,pijarmahir,Membuat Brosur Digital Menggunakan Aplikasi Canva,NAN,None
408,pijarmahir,"Modal Camera sederhana, yuuk jadi Fotografer Pemula",NAN,None
409,pijarmahir,Ilmu Wajib Sebelum Berinvestasi di Pasar Modal,NAN,None
410,pijarmahir,Keterampilan dalam Coaching,NAN,None
411,pijarmahir,Keterampilan Menjual Dasar Luar Biasa,NAN,None
412,pijarmahir,Teknik Penutupan Penjualan yang Berhasil,NAN,None
413,pijarmahir,Cara Meningkatkan Penjualan Anda,NAN,None
414,pijarmahir,Jual dengan Jaringan Online dan Offline,NAN,None
415,pijarmahir,Rahasia Memengaruhi Penjualan,NAN,None
416,pijarmahir,Cara Membuat Diri Anda Dapat Dipromosikan,NAN,None
417,pijarmahir,Panduan Untuk Melakukan Panggilan Telepon Di Lingkungan Bisnis (BAHASA INGGRIS),NAN,None
418,pijarmahir,Cara Memberi Presentasi (BAHASA INGGRIS),NAN,None
419,pijarmahir,Panduan untuk Menjadi Pemandu Tur bagi Turis Berbahasa Inggris (BAHASA INGGRIS),NAN,None
420,pijarmahir,Membuat Janji Pertemuan (BAHASA INGGRIS),NAN,None
421,pijarmahir,Cara Melakukan Pemesanan untuk Hotel (BAHASA INGGRIS),NAN,None
422,pijarmahir,Pengenalan Microsoft Excel 2016,NAN,None
423,pijarmahir,Membuat dan Mengelola Workbook Microsoft Excel 2016,NAN,None
424,pijarmahir,Cara Presentasi yang Baik,NAN,None
425,pijarmahir,Penjualan B2B (Bisnis ke Bisnis),NAN,None
426,pijarmahir,Pelayanan Pelanggan Yang Unggul,NAN,None
427,pijarmahir,Keterampilan Negosiasi yang Efektif,NAN,None
428,pijarmahir,Are You Going To Meet Clients For The First time?,NAN,None
429,pijarmahir,Membuat Dokumen Perkantoran Menggunakan Microsoft Word,NAN,None
430,pijarmahir,Pengenalan Microsoft Word Tingkat Pemula,NAN,None
431,pijarmahir,Membuat Laporan Keuangan Usaha Menggunakan Microsoft Excel,NAN,None
432,pijarmahir,Membuat Video Dengan Menggunakan Aplikasi Quik,NAN,None
433,pijarmahir,Eksekusi Dalam Bisnis,NAN,None
434,pijarmahir,Keunggulan Layanan Pelanggan,NAN,None
435,pijarmahir,Cara Mudah dan Terbukti Berhasil dalam Menulis Copywriting,NAN,None
436,pijarmahir,Cara Jitu Menjadi Pengusaha Sukses,NAN,None
437,pijarmahir,Cara Menjual Produk atau Jasa Dari Facebook,NAN,None
438,pijarmahir,Cara Meraih Sukses Dengan Bahasa Inggris,NAN,None
439,pijarmahir,Cara Menjual Produk atau Jasa dari Instagram,NAN,None
440,pijarmahir,Meraup rupiah dengan facebook dan Instagram ads,NAN,None
441,pijarmahir,Tingkatkan penghasilan anda dengan Google ads sekarang,NAN,None
442,pijarmahir,Membangun website profesional dengan mudah,NAN,None
443,pijarmahir,Strategi menghasilkan rupiah dengan Youtube ads,NAN,None
444,pijarmahir,IT Support untuk Pemula: Dasar Troubleshooting,NAN,None
445,pijarmahir,Windows Support untuk Pemula: Dasar Konfigurasi,NAN,None
446,pijarmahir,IT Support untuk Pemula: Troubleshooting Microsoft office,NAN,None
447,pijarmahir,Desktop Modern untuk Pemula: Instalasi Windows 10,NAN,None
448,pijarmahir,IT Support untuk Pemula: Troubleshooting Windows,NAN,None
449,pijarmahir,Teknologi Informasi untuk Pemula: Pemahaman Dasar,NAN,None
450,pijarmahir,Belajar Penggunaan Microsoft Excel untuk Memaksimalkan Kerja UMKM,NAN,None
451,pijarmahir,Manajemen Desktop dan Perangkat Modern,NAN,None
452,pijarmahir,Teknologi Informasi Untuk Pemula: Dokumentasi Dasar,NAN,None
453,pijarmahir,Melindungi Desktop dan Perangkat Modern,NAN,None
454,pijarmahir,Teknologi Informasi Untuk Pemula: Komunikasi Dasar,NAN,None
455,pijarmahir,Desktop Modern untuk Pemula: Konfigurasi Windows 10,NAN,None
456,pijarmahir,Desktop Modern untuk Pemula: Melindungi Windows 10,NAN,None
457,pijarmahir,Desktop Modern untuk Pemula: Mengelola Windows 10,NAN,None
458,pijarmahir,Windows Support untuk Pemula: Dasar Instalasi,NAN,None
459,pijarmahir,Belajar CV dan Trik Interview Killer,NAN,None
460,pijarmahir,Tingkatkan Penjualan dengan Instagram Marketing,NAN,None
461,pijarmahir,Tingkatkan Penjualan dengan Facebook Marketing,NAN,None
462,pijarmahir,Prinsip UX (User Experience),NAN,None
463,pijarmahir,Strategi Praktis Menjadi Database Admin Handal,NAN,None
464,pijarmahir,Teknik Membuat Artikel Cepat untuk Website,NAN,None
465,pijarmahir,Fotografi Digital untuk Berjualan,NAN,None
466,pijarmahir,"Proses Penjualan dengan Tingkat Keberhasilan 99,99%",NAN,None
467,pijarmahir,Tips dan Trik Menguasai Presentasi untuk Pemula,NAN,None
468,pijarmahir,Bahasa Inggris untuk Pencari Kerja,NAN,None
469,pijarmahir,Penghasilan Tambahan dengan Menjadi Guru Online,NAN,None
470,pijarmahir,Bahasa Inggris untuk Presentasi,NAN,None
471,pijarmahir,Bahasa Inggris untuk Pengemudi,NAN,None
472,pijarmahir,Tips Jago MC Pemula,NAN,None
473,pijarmahir,Bahasa Inggris untuk Petugas Pelayanan Pelanggan,NAN,None
474,pijarmahir,Tips dan Trik Menguasai Presentasi Untuk Pemula,NAN,None
475,pijarmahir,Cara Komunikasi Profesional untuk Sukseskan Bisnismu,NAN,None
476,pijarmahir,Tips Jago MC Pemula,NAN,None
477,pijarmahir,Penghasilan Tambahan dengan Menjadi Guru Online,NAN,None
478,pijarmahir,Sukses dengan Public Speaking,NAN,None
479,pijarmahir,Membuat Sebuah Bisnis Sosial yang Efektif,NAN,None
480,pijarmahir,Editing Video (Power Director) untuk Jualan Online,NAN,None
481,pijarmahir,Digital Marketing: Menggunakan Channel dan Kampanye,NAN,None
482,pijarmahir,Berjualan dan Jadi Top Seller Tokopedia,NAN,None
483,pijarmahir,Eksis di Google dengan Google My Business,NAN,None
484,pijarmahir,Editing Foto (Snapseed) untuk Jualan Online,NAN,None
485,pijarmahir,Berjualan dan Jadi Top Seller Shopee,NAN,None
486,pijarmahir,Berjualan dan Jadi Top Seller Lazada,NAN,None
487,pijarmahir,Fundamental of Digital Marketing,NAN,None
488,pijarmahir,Bahasa Inggris untuk Ojek Online,NAN,None
489,pijarmahir,Penggunaan Microsoft Excel untuk Analisa,NAN,None
490,pijarmahir,Penggunaan Microsoft Excel untuk Keuangan,NAN,None
491,pijarmahir,Raih Penghasilan Puluhan Juta Rupiah Dari Instagram,NAN,None
492,pijarmahir,Raih Penghasilan Jutaan Hanya Modal Website,NAN,None
493,pijarmahir,Bahasa Inggris General,NAN,None
494,pijarmahir,Pengantar untuk Pelayanan Makanan (Food and Beverage),NAN,None
495,pijarmahir,Dasar-dasar House Keeping,NAN,None
496,pijarmahir,Dasar-dasar Front Office,NAN,None
497,pijarmahir,Bagaimana mengajar Bahasa Inggris secara Online (BAHASA INGGRIS),NAN,None
498,pijarmahir,CISCO NETWORK TRAINING,NAN,None
499,pijarmahir,Telkom Prima Cipta Certifia,NAN,None
500,pijarmahir,Pelatihan dan Sertifikasi CCNA 200-301,NAN,None
501,pijarmahir,Telkom Prima Cipta Certifia,NAN,None
502,mau belajar apa,Learn How To Paint On Canvas With Acrylic,art,art
503,mau belajar apa,Learn How To Paint Impressionism (Watercolor Painting),art,art
504,mau belajar apa,Learn How To Draw 3-Dimensional Sketch,art,art
505,mau belajar apa,Belajar Membuat Desain Busana (South Jakarta),art,art
506,mau belajar apa,Learn The Basic Of Small Brush Pen Lettering,art,art
507,mau belajar apa,Learn The Basic Of Colorful Brush Pen Lettering,art,art
508,mau belajar apa,(Acrylic Painting) Learn How To Paint Deer,art,art
509,mau belajar apa,Learn How To Make Stencil Painting On Hoodie Jacket,art,art
510,mau belajar apa,(2 Sessions) (2 Days Webinar) Introduction To Digital Marketing with Jourdan Kamal,top-selling,business
511,mau belajar apa,(4 Sessions) Belajar Teknik Berbicara di Depan Umum (Public Speaking),public-speaking,pengembangan-diri
512,mau belajar apa,Belajar Menjadi MC Profesional,public-speaking,pengembangan-diri
513,mau belajar apa,Learn About Public Speaking for Entrepreneur,public-speaking,pengembangan-diri
514,mau belajar apa,Belajar Keterampilan Dasar Komunikasi untuk Fresh Graduate,public-speaking,pengembangan-diri
515,mau belajar apa,(4 Sessions) Belajar Bahasa Inggris untuk Presentasi,public-speaking,pengembangan-diri
516,mau belajar apa,(4 Sessions) Belajar Menjadi Pembawa Acara Profesional (Master of Ceremony),public-speaking,pengembangan-diri
517,mau belajar apa,Belajar Seni Berbicara di Depan Umum dan Kemampuan Berkomunikasi,public-speaking,pengembangan-diri
518,mau belajar apa,(5 Sessions) (Webinar) Learn All About Master of Ceremony for College Student,public-speaking,pengembangan-diri
519,mau belajar apa,Learn All About Academic English IELTS (Digital Learning),language,pengembangan-diri
520,mau belajar apa,Learn All About Vocabulary Builder (Digital Learning),language,pengembangan-diri
521,mau belajar apa,(9 Sessions) Belajar Bahasa Inggris Praktis untuk Pelaku Pariwisata dan Jasa (Kelas Pagi),language,pengembangan-diri
522,mau belajar apa,(12 Sessions) Belajar Bahasa Jepang Praktis,language,pengembangan-diri
523,mau belajar apa,Learn All About Pronunciation Practice (Digital Learning),language,pengembangan-diri
524,mau belajar apa,(4 Sessions) Belajar Bahasa Inggris untuk Front Liners,language,pengembangan-diri
525,mau belajar apa,Learn All About Writing for Business (Digital Learning),language,pengembangan-diri
526,mau belajar apa,Learn All About Academic English TOEIC (Digital Learning),language,pengembangan-diri
527,mau belajar apa,(20 Sessions) Learn About Video Editing And Video Production (Package),videography,art
528,mau belajar apa,(10 Sessions) Learn About Video Editing,videography,art
529,mau belajar apa,Belajar Pengetahuan Dasar Menjadi Seorang Videografer,videography,art
530,mau belajar apa,(10 Sessions) Learn About Video Production,videography,art
531,mau belajar apa,(3 Sessions) Belajar Strategi Pemasaran yang Memenangkan Hati Millenials dan Gen Z,marketing,business
532,mau belajar apa,Belajar Trik Sukses Jualan Online dengan Iklan Facebook dan Instagram Dengan Albert Leonardo (Beginner),marketing,business
533,mau belajar apa,(5 Sessions) Belajar Menyusun Value Proposition Canvas untuk Mengembangkan Bisnis Kuliner,marketing,business
534,mau belajar apa,Learn How To Develop Strategic Marketing And Set Your Product Price,marketing,business
535,mau belajar apa,(5 Sessions) Belajar Pembuatan Business Model Canvas untuk Bisnis Makanan (Seri 1),marketing,business
536,mau belajar apa,Belajar Meraih Penghasilan 10 Juta Pertama Melalui Tokopedia & Shopee,marketing,business
537,mau belajar apa,Learn About New Marketing In COVID-19 Era,marketing,business
538,mau belajar apa,Learn About Public Speaking for Entrepreneur,marketing,business
539,mau belajar apa,(20 Sessions) Learn All About Fashion Design And Pattern Making,fashion,fashion
540,mau belajar apa,"(Afternoon Session) Learn About Haute Couture Pattern Making, Sewing & Draping",fashion,fashion
541,mau belajar apa,Learn How To Make Abaya from Scratch,fashion,fashion
542,mau belajar apa,Learn How to Make Your Own Futuristic Cropped Jacket,fashion,fashion
543,mau belajar apa,Learn About Fashion Illustration,fashion,fashion
544,mau belajar apa,Belajar Membuat Desain Busana (South Jakarta),fashion,fashion
545,mau belajar apa,Learn How To Make Bow Tie Dress,fashion,fashion
546,mau belajar apa,(Afternoon Session) Learn How To Make Your Own Custom Size Dress & Beading Technique,fashion,fashion
547,mau belajar apa,Learn How to Draw Fashion Illustration,fashion,fashion
548,mau belajar apa,(Morning Session) Learn How To Make Your Own Custom Size Dress & Beading Technique,fashion,fashion
549,mau belajar apa,Learn How To Make Haute Couture Ateliers Bodice,fashion,fashion
550,mau belajar apa,Belajar Teknik Menjahit Payet Tabur,fashion,fashion
551,mau belajar apa,Learn How To Apply Shibori on T-Shirt,fashion,fashion
552,mau belajar apa,Learn How To Make Your Own Handmade Earing,fashion,fashion
553,mau belajar apa,Learn How To Sew Women Shirt,fashion,fashion
554,mau belajar apa,Belajar Membuat Payet Tabur,fashion,fashion
555,mau belajar apa,"(Morning Session) Learn About Haute Couture Pattern Making, Sewing & Draping",fashion,fashion
556,mau belajar apa,Learn How to Make Your Own Culotte Pants,fashion,fashion
557,mau belajar apa,Learn How To Apply Ecoprint On Tote Bag,fashion,fashion
558,mau belajar apa,Learn How to Make Wrapped Dress,fashion,fashion
559,mau belajar apa,Learn How to Understand the Problem by Design Thinking,communication-writing,business
560,mau belajar apa,(5 Sessions) Belajar Design Thinking untuk Manajemen Staff Bisnis Makanan,communication-writing,business
561,mau belajar apa,(4 Sessions) Belajar Menulis Bahasa Inggris untuk Keperluan Bisnis,communication-writing,business
562,mau belajar apa,Belajar Design Thinking untuk Memulai Sebuah Bisnis,communication-writing,business
563,mau belajar apa,(5 Sessions) Belajar Pembuatan Business Model Canvas untuk Bisnis Makanan (Seri 1),communication-writing,business
564,mau belajar apa,Belajar Menulis untuk Pemula,communication-writing,business
565,mau belajar apa,Belajar Penulisan Konten Kreatif dan Konten untuk Keperluan Bisnis,communication-writing,business
566,mau belajar apa,Learn All About Writing for Business (Digital Learning),communication-writing,business
567,mau belajar apa,Learn How To Paint On Canvas With Acrylic,painting-watercolor,art
568,mau belajar apa,Learn How To Paint Impressionism (Watercolor Painting),painting-watercolor,art
569,mau belajar apa,Learn How To Draw 3-Dimensional Sketch,painting-watercolor,art
570,mau belajar apa,Learn How to Custom Paint Sneakers,painting-watercolor,art
571,mau belajar apa,(Acrylic Painting) Learn How To Paint Deer,painting-watercolor,art
572,mau belajar apa,Learn How To Make Stencil Painting On Hoodie Jacket,painting-watercolor,art
573,mau belajar apa,"Belajar Membuat Presentasi dengan Prinsip Dasar Desain Part 2: Contrast, Alignment, Proximity",presentation,business
574,mau belajar apa,(6 Sessions) Belajar Mendesain Presentasi yang Efektif dan Atraktif [Full Pack/6 Sessions],presentation,business
575,mau belajar apa,Belajar Menyusun Presentasi Kreatif dan Menarik,presentation,business
576,mau belajar apa,(5 Sessions) Belajar Keterampilan Presentasi,presentation,business
577,mau belajar apa,Belajar Membuat Presentasi dengan Prinsip Dasar Desain Part 1: Hierarchy & Negative Space,presentation,business
578,mau belajar apa,Belajar Meyakinkan Orang Lain dengan Penggunaan Presentasi yang Kreatif,presentation,business
579,mau belajar apa,(2 Sessions) Belajar Bagaimana Membangun Hubungan dengan Audiens,presentation,business
580,mau belajar apa,Belajar Membuat Presentasi dengan Pengaturan Warna,presentation,business
581,mau belajar apa,(Webinar) Learn All About Lighting Theory And Its Application for Photography And Videography,photography-videography,art
582,mau belajar apa,Learn The Basic Of Photography With Adi Sabadirman,photography-videography,art
583,mau belajar apa,Belajar Akuntasi Dasar dan Perencanaan Finansial,finance,business
584,mau belajar apa,Belajar Akuntansi Dasar dan Pencatatan Transaksi Bisnis,finance,business
585,mau belajar apa,Learn How To Understand Your Business Finance & Project Your Business Growth,finance,business
586,mau belajar apa,Belajar Menghitung dan Membuat Laporan Arus Kas,finance,business
587,mau belajar apa,Belajar Menghitung Biaya dan Membuat Laporan Keuangan,finance,business
588,mau belajar apa,Belajar Manajemen Arus Kas untuk Bisnis Kecil,finance,business
589,mau belajar apa,(2 Sessions) (Jourdan pending class Online) Belajar Pendanaan Bisnis (DRAFT),finance,business
590,mau belajar apa,"Belajar Berasuransi dengan Efektif, Cash Flow pun Aman",finance,business
591,mau belajar apa,Learn How To Develop Your Brand Communication,foodpreneurs,business
592,mau belajar apa,(2 Sessions) (2 Days Webinar Masterclass) Increase Your Brand Presence & Sales With Instagram Marketing,foodpreneurs,business
593,mau belajar apa,(4 Sessions) Mastering Digital & Social Media Marketing for Managers & Business Owners (With Jourdan Kamal),foodpreneurs,business
594,mau belajar apa,Belajar Membuat Aneka Keju (Homemade Cheesemaking),foodpreneurs,business
595,mau belajar apa,Belajar Membangun Usaha Bakery Dengan Modal Minim,foodpreneurs,business
596,mau belajar apa,(2 Sessions) (2 Days Webinar) Introduction To Digital Marketing with Jourdan Kamal,foodpreneurs,business
597,mau belajar apa,Belajar Membuat Puding Lapis Surabaya Dengan Chef Yuliana,baking-bikin-kue,pengembangan-diri
598,mau belajar apa,Belajar Membuat Dessert Puding Bentuk Sushi Dan Sashimi,baking-bikin-kue,pengembangan-diri
599,mau belajar apa,Belajar Membuat Silky Pudding (Puding Sutera) Aneka Rasa ala Cafe bersama Chef Siu Erl,baking-bikin-kue,pengembangan-diri
600,mau belajar apa,Belajar Membuat Aneka Keju (Homemade Cheesemaking),baking-bikin-kue,pengembangan-diri
601,mau belajar apa,Belajar Membuat Aneka 3D Jelly Art,baking-bikin-kue,pengembangan-diri
602,mau belajar apa,Belajar Membangun Usaha Bakery Dengan Modal Minim,baking-bikin-kue,pengembangan-diri
603,mau belajar apa,Belajar Memulai Usaha Avocado Pudding (Puding Alpukat) ala Cafe Dengan Chef Hadi,baking-bikin-kue,pengembangan-diri
604,mau belajar apa,Learn How To Make Super Heroes Pudding Cups,baking-bikin-kue,pengembangan-diri
